ip_address,progress,date,time,id,conf_scale,gender,age,seen_video_before,video,lineup,lineup_response,accuracy,confidence_bin,response
98.121.32.139,100,2019-07-23,11:54:11,R_2OHJIYu8S8o9nHE,100,Female,22,NA,170,170,3,correct,high,correct identification
162.217.184.193,100,2019-07-23,11:54:29,R_Ucf0s5RMj3ldiIF,75,Male,26,NA,164,164,3,incorrect,medium,tp filler id
159.53.174.147,100,2019-07-23,11:54:33,R_2qaUeiwhOfss2Aw,98,Male,34,NA,173,173,5,correct,high,correct identification
184.18.142.55,100,2019-07-23,11:54:54,R_1rokRRLuS5hrT64,49,Female,36,2,170,176,7,correct,low,correct rejection
160.2.143.175,100,2019-07-23,11:55:00,R_2QRGln4GRyaIEJi,41,Female,27,NA,164,164,7,incorrect,low,incorrect rejection
74.77.215.169,100,2019-07-23,11:55:35,R_3HNyuCYFotJdhi0,82,Female,22,NA,176,176,6,correct,high,correct identification
75.38.199.2,100,2019-07-23,11:56:18,R_3Hvo8H5JTeabLkW,95,Male,29,2,164,173,7,correct,high,correct rejection
73.221.29.39,100,2019-07-23,11:56:25,R_3ptmCqYavs9wvQS,100,Female,30,2,164,164,6,correct,high,correct identification
24.162.216.127,100,2019-07-23,11:56:38,R_3kAk982S9Gwofg8,95,Male,24,NA,173,164,7,correct,high,correct rejection
172.222.226.201,100,2019-07-23,11:56:49,R_e8JyW0khHJd9jZD,13,Female,32,NA,176,170,1,incorrect,low,ta filler id
71.197.56.97,100,2019-07-23,11:56:51,R_3KLh9dTyq7wJhN7,70,Female,25,2,170,170,3,correct,medium,correct identification
50.76.197.113,100,2019-07-23,11:57:00,R_2bNQB2fYoboVV3A,60,Female,25,NA,164,173,7,correct,medium,correct rejection
100.34.147.8,100,2019-07-23,11:57:04,R_3j7kdIwgFNH4JdR,40,Female,19,NA,164,173,7,correct,low,correct rejection
98.14.147.148,100,2019-07-23,11:57:17,R_OPBdgrjUL03NP0J,100,Male,30,NA,176,170,7,correct,high,correct rejection
216.240.113.65,100,2019-07-23,11:57:23,R_3qg5XRRz6GEUUPT,100,Female,44,2,173,173,5,correct,high,correct identification
72.198.74.135,100,2019-07-23,11:57:23,R_242XE90Q4kc3KOd,80,Male,58,2,176,170,7,correct,medium,correct rejection
23.28.34.8,100,2019-07-23,11:57:30,R_OiYfv6k0SeSChBT,100,Female,31,2,170,176,7,correct,high,correct rejection
70.161.129.232,100,2019-07-23,11:57:33,R_1BQ7dl3O5NXIM93,70,Female,44,NA,164,164,4,incorrect,medium,tp filler id
155.178.180.11,100,2019-07-23,11:57:34,R_4MxeUFw0jZUYwtr,93,Male,34,NA,164,164,6,correct,high,correct identification
75.12.93.25,100,2019-07-23,11:57:42,R_D5A3HSZvmNL25vb,70,Male,30,NA,173,173,3,incorrect,medium,tp filler id
50.207.248.226,100,2019-07-23,11:57:43,R_1LG8sNxN4JbmoKF,85,Male,29,2,170,170,3,correct,high,correct identification
67.245.12.9,100,2019-07-23,11:57:51,R_W9BFzhspChrLT1L,99,Male,48,2,176,176,7,incorrect,high,incorrect rejection
104.175.92.15,100,2019-07-23,11:58:02,R_2tle6Fd37jKTzMw,50,Male,34,2,170,176,7,correct,low,correct rejection
50.96.106.235,100,2019-07-23,11:58:17,R_3iD6GyCp7I4rsFN,95,Female,36,2,170,170,3,correct,high,correct identification
24.208.211.118,100,2019-07-23,11:58:19,R_3R3Dgy3ZJOhu41A,59,Prefer not to say,20,2,176,176,7,incorrect,medium,incorrect rejection
98.192.36.159,100,2019-07-23,11:58:23,R_2q4MzgPG6m5gret,95,Female,41,2,164,173,7,correct,high,correct rejection
47.41.46.244,100,2019-07-23,11:58:24,R_6QhqdA3uvG3q7e1,100,Female,27,NA,176,170,7,correct,high,correct rejection
205.153.204.1,100,2019-07-23,11:58:26,R_1GvS9s0jMfkC3xT,30,Male,45,NA,170,176,1,incorrect,low,ta filler id
68.34.74.124,100,2019-07-23,11:58:26,R_27qlJXv9xUaDN0S,100,Male,26,NA,176,176,7,incorrect,high,incorrect rejection
216.8.193.100,100,2019-07-23,11:58:32,R_1l4dHy4RuPLCtkr,85,Female,55,2,170,170,3,correct,high,correct identification
98.25.133.145,100,2019-07-23,11:58:40,R_xnpbI6XDGE7eJUt,100,Male,40,NA,173,164,7,correct,high,correct rejection
66.68.150.96,100,2019-07-23,11:58:40,R_10Yt6XRCdh3UQ8k,91,Male,23,NA,164,164,6,correct,high,correct identification
206.213.251.31,100,2019-07-23,11:58:40,R_2qEgOFTOOG43TV0,94,Female,45,2,176,176,6,correct,high,correct identification
73.6.203.94,100,2019-07-23,11:58:43,R_1one6T9aYFQgCGF,60,Female,35,2,176,176,7,incorrect,medium,incorrect rejection
99.77.72.120,100,2019-07-23,11:58:46,R_dbBWkkCIO9iGccp,81,Female,22,2,173,164,7,correct,high,correct rejection
71.215.73.211,100,2019-07-23,11:58:46,R_4T1dTJoM0mB6JSV,100,Male,30,NA,176,170,7,correct,high,correct rejection
73.119.61.252,100,2019-07-23,11:58:47,R_2amHuBWSJK6R5Tp,90,Male,29,NA,164,164,6,correct,high,correct identification
73.151.174.139,100,2019-07-23,11:58:47,R_1lfqK6xA5zQxnPq,69,Female,42,NA,173,173,3,incorrect,medium,tp filler id
104.129.194.239,100,2019-07-23,11:58:50,R_blw6mFZwPh7LKgN,92,Female,26,2,176,170,4,incorrect,high,ta filler id
99.234.201.146,100,2019-07-23,11:58:57,R_2EF9RBGoTvf3Ae2,100,Female,37,NA,164,164,6,correct,high,correct identification
208.118.194.225,100,2019-07-23,11:58:59,R_b2E6Y2qIC6DwHPH,100,Female,36,2,170,170,3,correct,high,correct identification
73.152.56.226,100,2019-07-23,11:59:01,R_12fBCbPMzkm8SdD,62,Male,33,NA,173,164,5,incorrect,medium,ta filler id
35.12.37.237,100,2019-07-23,11:59:02,R_ZKoOmYuTO4riazv,51,Male,35,NA,173,164,3,incorrect,medium,ta filler id
107.139.92.71,100,2019-07-23,11:59:14,R_yJCmrwlNlKm2c3D,100,Male,31,NA,170,170,7,incorrect,high,incorrect rejection
184.101.44.182,100,2019-07-23,11:59:19,R_vAWSFH1GIltaSf7,80,Male,37,NA,176,170,7,correct,medium,correct rejection
208.89.33.32,100,2019-07-23,11:59:20,R_OqlYCmBhSPOjGY9,62,Male,39,2,173,164,3,incorrect,medium,ta filler id
24.56.18.8,100,2019-07-23,11:59:32,R_2UgOza2dLcd45QD,95,Male,35,2,170,176,7,correct,high,correct rejection
24.229.183.111,100,2019-07-23,11:59:41,R_tXvbpvvF7cn4uMV,90,Male,31,NA,173,173,5,correct,high,correct identification
99.203.15.179,100,2019-07-23,11:59:42,R_1jDhKz7bmUI78wl,100,Female,26,NA,176,176,6,correct,high,correct identification
216.165.126.118,100,2019-07-23,11:59:43,R_PNDAptEW3sz6prP,24,Male,26,NA,170,176,3,incorrect,low,ta filler id
173.171.111.154,100,2019-07-23,11:59:52,R_2pRCa358t7dAqEj,100,Female,23,2,173,173,5,correct,high,correct identification
47.34.155.174,100,2019-07-23,11:59:53,R_cZ3j3OEKsvvVLup,100,Female,28,NA,164,164,6,correct,high,correct identification
70.165.17.20,100,2019-07-23,11:59:54,R_2X6Wh3o5fAleB9H,99,Male,25,NA,173,173,5,correct,high,correct identification
98.102.130.170,100,2019-07-23,12:00:10,R_2U4NYsjPpcFm4pm,81,Male,37,NA,164,164,7,incorrect,high,incorrect rejection
96.69.161.197,100,2019-07-23,12:00:11,R_28MrIy25jBVxgmb,33,Female,52,2,164,173,6,incorrect,low,ta filler id
75.159.153.61,100,2019-07-23,12:00:17,R_URcBfFa3n1CxPpf,40,Male,27,NA,164,173,6,incorrect,low,ta filler id
100.7.254.104,100,2019-07-23,12:00:22,R_3hEKIS4VPgV12Wt,10,Female,32,NA,173,173,7,incorrect,low,incorrect rejection
199.250.231.179,100,2019-07-23,12:00:23,R_BsOyFpVE9JcRLkl,95,Female,53,2,164,173,7,correct,high,correct rejection
173.170.4.135,100,2019-07-23,12:00:24,R_scbtvIkFw3EmclH,100,Male,27,NA,176,170,4,incorrect,high,ta filler id
74.194.232.152,100,2019-07-23,12:00:31,R_2zjy7dhEL8ZMEbi,94,Male,36,2,173,173,5,correct,high,correct identification
104.177.89.236,100,2019-07-23,12:00:38,R_2to15a6nGwLkXUZ,50,Female,27,NA,164,164,2,incorrect,low,tp filler id
69.223.59.142,100,2019-07-23,12:00:40,R_8Aq8Z1YvRM0aiI1,92,Female,46,NA,176,176,6,correct,high,correct identification
72.188.132.119,100,2019-07-23,12:00:47,R_3R1vksmeBBU6Ydk,45,Female,38,NA,170,176,7,correct,low,correct rejection
216.49.32.66,100,2019-07-23,12:00:50,R_2c7NMRsJULFUrVC,75,Male,33,2,176,170,4,incorrect,medium,ta filler id
66.189.96.178,100,2019-07-23,12:00:51,R_9ulHyU1j8YbCcQp,100,Male,27,NA,164,173,1,incorrect,high,ta filler id
76.14.239.189,100,2019-07-23,12:01:03,R_RaFIvbgrKjGT5UR,77,Female,50,NA,173,164,7,correct,medium,correct rejection
173.84.77.89,100,2019-07-23,12:01:04,R_AbY7FIQF28a7ByF,0,Female,44,2,164,173,7,correct,low,correct rejection
174.234.14.192,100,2019-07-23,12:01:07,R_ThjBrXmOfiMGyDT,31,Male,48,2,173,173,2,incorrect,low,tp filler id
73.198.13.141,100,2019-07-23,12:01:07,R_12m2N7kqYtCzKek,89,Male,28,NA,176,170,7,correct,high,correct rejection
