hb,cancer_site_icd10code,cancer_site,sex,sex_qf,year,incidences_all_ages,crude_rate,crude_rate_lower95pc_confidence_interval,crude_rate_upper95pc_confidence_interval,easr,easr_lower95pc_confidence_interval,easr_lower95pc_confidence_interval_qf,easr_upper95pc_confidence_interval,easr_upper95pc_confidence_interval_qf,wasr,wasr_lower95pc_confidence_interval,wasr_lower95pc_confidence_interval_qf,wasr_upper95pc_confidence_interval,wasr_upper95pc_confidence_interval_qf,standardised_incidence_ratio,sir_lower95pc_confidence_interval,sir_upper95pc_confidence_interval,hb_name,country
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1993,629,598.8194973,552.9305525,647.5008582,651.697132,599.1286977,NA,706.4445719,NA,305.5564074,279.0080991,NA,333.2939714,NA,101.9509181,94.13817975,110.2390741,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1994,518,491.2280702,449.8307744,535.4106552,525.313558,478.4096816,NA,574.3793761,NA,239.8664103,216.7902049,NA,264.0929327,NA,82.72352744,75.75216211,90.16393956,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1995,587,554.0872192,510.1642082,600.7802046,608.0653334,557.7492483,NA,660.523308,NA,274.6527981,250.3177571,NA,300.1005214,NA,93.18440129,85.79758684,101.0370601,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1996,718,678.2542981,629.5439408,729.7331049,758.5725674,700.3598984,NA,819.0760545,NA,329.2996786,302.7177478,NA,356.9843007,NA,107.8630541,100.1166264,116.0497495,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1997,618,583.2389581,538.1559322,631.0904776,619.66214,570.5625144,NA,670.7594517,NA,277.4650819,253.0015078,NA,303.0414686,NA,96.69962587,89.22496788,104.6332935,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1998,572,539.4190871,496.1134483,585.4925789,577.1436278,529.3566822,NA,626.9661145,NA,258.2205771,234.6874631,NA,282.8619645,NA,91.02247267,83.71500725,98.79699019,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1999,637,602.0224931,556.1729541,650.6438974,636.2421884,586.2064415,NA,688.297825,NA,295.9047128,270.606964,NA,322.3167152,NA,101.0040789,93.31169112,109.1615152,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2000,599,563.7647059,519.5152664,610.7756595,590.3753056,542.6352938,NA,640.099295,NA,267.960997,243.8139893,NA,293.2318254,NA,93.580225,86.23518821,101.38365,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2001,616,575.9700795,531.3781597,623.3049249,605.6124636,557.3957394,NA,655.8007649,NA,279.7803209,255.4996487,NA,305.1473576,NA,95.82320561,88.40452042,103.6982269,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2002,697,648.1912025,600.9569728,698.1513889,659.8980906,610.5696364,NA,711.115476,NA,318.0632577,292.0938429,NA,345.1228494,NA,105.7071274,98.00416148,113.8546428,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2003,615,567.3431734,523.384177,614.0084344,590.9342063,543.2691968,NA,640.5748809,NA,261.208979,237.4609195,NA,286.0726078,NA,91.05126412,83.99641199,98.5404368,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2004,638,582.8613192,538.5051932,629.8968536,591.8096239,545.3479041,NA,640.1436081,NA,276.2429116,252.3294603,NA,301.2234856,NA,91.39606313,84.4407632,98.77150997,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2005,734,665.7596372,618.4609614,715.716167,665.6261241,617.0458035,NA,716.02106,NA,326.9942926,300.92898279999997,NA,354.1267548,NA,106.08085,98.54437066,114.0408266,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2006,709,639.5453725,593.3298273,688.4047113,636.7812221,589.642426,NA,685.7069131,NA,293.4402712,269.2836565,NA,318.6196938,NA,100.1817825,92.94233416,107.8353687,Borders,S92000003
